ordem,gid,co_cep,uf,cidade,no_fantasia,no_bairro,nu_endereco,no_logradouro,nu_telefone,ano_upa_func,mes_upa_func,fonte_recurso,porte,longitude,latitude
265,7540868,,Acre (AC),Rio Branco,UPA DA CIDADE DO POVO DR EDILBERTO PARIGOT DE SOUZA FILHO,CIDADE DO POVO,S/N,AVENIDA 1,68 3215 4210,2015,10,MS,1,-67.82615662,-9.980009013
275,6439837,69900-977,Acre (AC),Rio Branco,UPA 24 HORAS DO 2 DISTRITO,LOTEAMENTO SANTA HEL,20,RODOVIA BR 364 KM 125,(68) 3221 6775,2015,10,MS,3,-67.81928,-9.96641
298,7530684,,Acre (AC),Rio Branco,UPA DA SOBRAL FRANCO SILVA,SOBRAL,S/N,ESTRADA DA SOBRAL,(68) 3215 4200,2015,10,MS,3,-67.8304067,-9.9815886
195,7471645,,Alagoas (AL),Coruripe,UNIDADE DE PRONTO ATENDIMENTO DE CORURIPE,ZEQUINHA AZEVEDO,152,RUA EDGAR CASSIANO DOS SANTOS,,2015,10,MS,3,-36.17209,-10.12209
297,7641117,,Alagoas (AL),Delmiro Gouveia,UPA DE DELMIIRO GOUVEIA,NOVO,S/N,AV ANTONIO JOSE DA COSTA,8236412414,2015,10,MS,2,-38.07927703,-9.384393424
260,7372116,57160-000,Alagoas (AL),Marechal Deodoro,UPA 24 HORAS IRMA DULCE MARECHAL DEODORO AL,FRANCES,S/N,RUA CORIMA,,2015,10,MS,1,-35.85067123,-9.774193736
229,7481624,,Alagoas (AL),Palmeira dos Índios,UNIDADE DE PRONTO ATENDIMENTO PALMEIRA DOS INDIOS,VILA MARIA,S/N,RUA BRAULIO MONTINEGRO,,2015,10,MS,2,-36.62328,-9.40441
348,7097794,57200-000,Alagoas (AL),Penedo,UPA II ANTONIO DE JESUS,SANTA LUZIA,S/N,RUA EUTIQUIO LOPES,,2015,10,MS,2,-36.59425735,-10.18113243
175,7099185,,Alagoas (AL),Viçosa,UNIDADE DE PRONTO ATENDIMENTO DR DEVID DISRAELI TORRES,CENTRO,20,RUA PEDRO BARRETO,32831279,2015,10,MS,1,-36.241,-9.371
69,7458606,,Amazonas (AM),Manaus,UPA CAMPOS SALLES,TARUMA,649,RUA DONA OTILIA,9232499050,2015,10,MS,3,-59.9999329,-2.9644832
371,7459750,,Amazonas (AM),Tabatinga,UNIDADE DE PRONTO ATENDIMENTO 24H TABATINGA UPA TABATINGA,VILAPARAISO,S/N,RUA CORONEL BERG,,2015,10,MS,1,-69.7644353,-4.049983
63,7709196,,Amapá (AP),Macapá,UNIDADE DE PRONTO ATENDIMENTO TIPO I UPA,NOVO HORIZONTE,S/N,RUA FERNANDO ALVES DE OLIVEIRA,,2015,10,MS,1,-51.04697853,0.09760983039
400,6737633,47600-000,Bahia (BA),Bom Jesus da Lapa,UPA 24H BOM JESUS DA LAPA,SAO MIGUEL,244,RUA L,77 3481 7907,2015,10,MS,1,-43.41591,-13.2575
319,2557096,46400-000,Bahia (BA),Caetité,UNIDADE DE PRONTO ATENDIMENTO DE CAETITE,RANCHO ALEGRE,S/N,RODOVIA CAETITE GUANAMBI,(77)34548061,2015,10,MS,3,-42.50154,-14.06207
323,7636822,42800-100,Bahia (BA),Camaçari,UPA 24HS GLEBA A GRAVATA,GLEBA A,S/N,AVENIDA DO CANAL,71 30408304,2015,10,MS,2,-38.3337847,-12.68832883
151,6922333,43815-360,Bahia (BA),Candeias,UNIDADE DE PRONTO ATENDIMENTO,OURO NEGRO,1,RUA DOS TRES PODERES,,2015,10,MS,1,-38.5509,-12.668
32,7148984,44695-000,Bahia (BA),Capim Grosso,UPA UNIDADE DE PRONTO ATENDIMENTO CAPIM GROSSO,NOVO OESTE,S/N,AV JOAO DAMASCENDO,36511509,2015,10,MS,1,-40.013,-11.381
70,7111606,44380-000,Bahia (BA),Cruz das Almas,UNIDADE DE PRONTO ATENDIMENTO 24H UPA I,ITAPICURU,110,AVENIDA CARMELITO BARBOSA ALVES,,2015,10,MS,1,-39.11453846,-12.66346964
86,7586361,,Bahia (BA),Feira de Santana,UPA DA MANGABEIRA JAIRO DE JESUS SANTOS,MANGABEIRA,12,LOTEAMENTO JARDIM DOS NAMORADOS,,2015,10,MS,1,-38.96667,-12.26667
278,7103840,44900-000,Bahia (BA),Irecê,UPA 24 HORAS ROSA MARIA OLIVEIRA BASTOS,ASA SUL,9995,RUA RIO SOLIMOES,,2015,10,MS,1,-41.856,-11.304
178,7116896,45700-000,Bahia (BA),Itapetinga,UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS,NOVA ITAPETINGA,S/N,AVENIDA GERSON DE OLIVEIRA,,2015,10,MS,1,-40.248,-15.249
137,7094647,48904-060,Bahia (BA),Juazeiro,UPA DR JOAO OLIVEIRA,CASTELO BRANCO,S/N,RODOVIA LOMANTO JUNIOR,7436134288,2015,10,MS,2,-40.50223,-9.4234
347,6855180,47850-000,Bahia (BA),Luís Eduardo Magalhães,UNIDADE DE PRONTO ATENDIMENTO UPA,MIMOSO DO OESTE,165,RUA ARNALDO HORACIO FERREIRA,36285885,2015,10,MS,1,-45.80367499,-12.08427867
338,7592191,,Bahia (BA),Poções,UPA 24H VILOBALDO MACEDO,INDAIA,590,RUA SANTO ANTONIO,7734315818,2015,10,MS,1,-40.37490808,-14.5253939
280,7077149,45810-000,Bahia (BA),Porto Seguro,UPA UNIDADE DE PRONTO ATENDIMENTO 24 HORAS FREI CALIXTO,MERCADO DO POVO,S/N,RUA DA MATA,(73) 3268-2032,2015,10,MS,2,-39.07032251,-16.4265766
245,7126816,45980-000,Bahia (BA),Prado,UPA 24 HORAS PRADO,PORTAL DO PRADO,S/N,RODOVIA PRADO ITAMARAJU QUADRA 17 LOTE 7 A 12,,2015,10,MS,1,-39.221,-17.341
11,7476469,,Bahia (BA),Salvador,UPA 24H VALERIA,VALERIA,S/N,RUA DO LAVRADOR,(71) 3500-2600,2015,10,MS,3,-38.42941793,-12.8709876
61,7633149,,Bahia (BA),Salvador,UPA 24H VALE DOS BARRIS,BARRIS,S/N,PRACA JOAO MANGABEIRA ROTULA AV VALE DOS BARRIS,(71) 3221-0811/0810,2015,10,MS,3,-38.51263078,-12.98697484
184,7596871,41180900,Bahia (BA),Salvador,UPA DO CABULA,SABOEIRO,S/N,ESTRADA SABOEIRO,(71)33873404,2015,10,MS,3,-38.45121,-12.95658
276,4774,41200-020,Bahia (BA),Salvador,UPA 24H PROF ADROALDO ALBERGARIA,PERIPERI,S/N,RUA DAS PEDRINHAS,(71) 3611-5721/5719,2015,10,MS,3,-38.46792,-12.86939
287,7521316,,Bahia (BA),Salvador,UPA 24H SAN MARTIN,SAN MARTIN,S/N,RUA DO FORNO,(71) 3256-2404,2015,10,MS,3,-38.48418206,-12.94301463
343,6927173,40720-460,Bahia (BA),Salvador,UPA DO SUBURBIO,ESCADA,S/N,LADEIRA DA TEREZINHA,71 3401-8585,2015,10,MS,3,-38.51238,-12.97038
369,4340,41610-640,Bahia (BA),Salvador,UPA 24H DR HELIO MACHADO,ITAPUA,S/N,RUA DA CACIMBA,(71) 3611-7118,2015,10,MS,3,-38.36644,-12.94725
397,6995160,40411-900,Bahia (BA),Salvador,UPA DE ROMA,ROMA,1153,R BARAO DE COTEGIPE,(71) 3316-8600,2015,10,MS,3,-38.51238,-12.97038
379,7057334,47640-000,Bahia (BA),Santa Maria da Vitória,UPA 24 HORAS SANTA MARIA DA VITORIA,AABB,S/N,RUA JEREMIAS RODRIGUES DA SILVA,77 3483 4884,2015,10,MS,1,-44.19038,-13.37309
202,7084129,46900-000,Bahia (BA),Seabra,UPA 24H DE SEABRA JORGE ALVES DE OLIVEIRA,TAMBORIL,S/N,RUA EDVALDO SANTOS,7533313919,2015,10,MS,1,-41.77490652,-12.4119647
15,7443382,,Bahia (BA),Simões Filho,UPA SIMOES FILHO,CIA I,S/N,AVENIDA ELMO SEREJO DE FARIAS,,2015,10,MS,2,-38.40237,-12.78401
169,6211496,44470-000,Bahia (BA),Vera Cruz,UNIDADE DE PRONTO ATENDIMENTO DE VERA CRUZ,MAR GRANDE,S/N,AVENIDA JUVENAL JOAO VINAGRE,,2015,10,MS,2,-38.609,-12.96
98,7396732,62750-000,Ceará (CE),Aracoiaba,UNIDADE DE PRONTO ATENDIMENTO UPA 24HS ARACOIABA,CENTRO,S/N,AV DA INDEPENDENCIA,85 33375517,2015,10,MS,1,-38.80524784,-4.368593211
142,7428383,,Ceará (CE),Canindé,UPA IRMA JUDITE DINIZ,SANTA LUZIA,1496,RUA PEDRO MOREIRA,,2015,10,MS,1,-39.30712,-4.35542
93,7077971,,Ceará (CE),Caucaia,UNIDADE DE PRONTO ATENDIMENTO DE CAUCAIA,CENTRO,S/N,GERONIMO AMARAL,,2015,10,MS,3,-38.65681171,-3.733029504
124,7410042,,Ceará (CE),Crateús,UPA DR OLAVO CAVALCANTE CARDOSO,CIDADE NOVA,S/N,RUA JOELSON SILVA BARROS,88-36912019,2015,10,MS,1,-40.67327,-5.17378
210,7103255,,Ceará (CE),Eusébio,UNIDADE DE PRONTO ATENDIMENTO DE EUSEBIO,CENTRO,395,RUA IRMA AMBROSINA,32605303,2015,10,MS,2,-38.44968349,-3.893557524
